,selfies,carbons,nitrogens,oxygens,hydrogens
5976,[Cl][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=N][N][=C][Branch1][Branch1][N][=N][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],16,4,0,8
5977,[C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][SH0][=Branch1][C][=O][=Branch1][C][=O][N][C][=Branch1][C][=O][N][C][=N][C][Branch1][C][C][=C][C][Branch1][C][C][=N][Ring1][Branch2],15,4,5,16
5978,[Cl][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][Cl],16,0,0,6
5979,[Cl][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][Branch1][C][Cl][=C][C][Branch1][C][Cl][=C][Ring1][Branch2][Cl],16,0,0,6
5980,[Cl][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][C][Branch1][C][Cl][=C][Ring1][=Branch2][Cl],17,0,0,5
5981,[Cl][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][=Branch2][Cl],17,0,0,5
5982,[Cl][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][Branch1][C][Cl][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][=Branch2][Cl],17,0,0,5
5983,[Cl][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][C][=C][Branch1][C][Cl][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][=Branch2][Cl],18,0,0,4
5984,[Cl][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][C][Branch1][C][Cl][=C][Ring1][=Branch2][Cl],18,0,0,4
5985,[Cl][C][=C][C][=C][Branch1][C][Cl][C][Branch2][Ring1][C][C][=C][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][=Branch2][=C][Ring1][S][Cl],18,0,0,4
5986,[Cl][C][=C][C][Branch1][C][Cl][=C][C][=Branch1][Ring2][=C][Ring1][#Branch1][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][C][Branch1][C][Cl][=C][Ring1][=Branch2][Cl],18,0,0,4
5987,[Cl][C][=C][C][=C][Branch1][Branch2][C][Branch1][C][Cl][=C][Ring1][#Branch1][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][#Branch2][Cl],19,0,0,3
5988,[Cl][C][=C][C][Branch1][C][Cl][=C][Branch2][Ring1][C][C][=C][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][=Branch2][C][Branch1][C][Cl][=C][Ring1][P][Cl],19,0,0,3
5989,[Cl][C][=C][C][Branch1][C][Cl][=C][Branch1][Branch2][C][Branch1][C][Cl][=C][Ring1][Branch2][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][#Branch2][Cl],20,0,0,2
5990,[Cl][C][=C][C][=Branch1][#Branch2][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][Cl][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][#Branch2][Cl],20,0,0,2
5991,[Cl][C][=C][C][Branch1][C][Cl][=C][Branch1][Branch2][C][Branch1][C][Cl][=C][Ring1][Branch2][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][C][Branch1][C][Cl][=C][Ring1][=Branch2][Cl],19,0,0,3
5992,[Br][C][=C][C][=C][Branch1][C][Br][C][Branch1][Ring1][C][=O][=C][Ring1][=Branch2],7,0,1,4
5993,[O][SH0][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][Cl][SH0][Branch1][C][O][=Branch1][C][=O][=O],2,0,6,3
5994,[C][C][Branch1][C][C][Branch1][C][C][C][Branch1][C][Br][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],15,1,1,22
5995,[Cl][C][=C][C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][C][=C][NH1][C][=C][Ring1][Branch1][C][#N],13,2,0,6
5996,[N][#C][C][=Branch1][O][=N][\O][C][C][O][C][C][O][Ring1][Branch1][/C][=C][C][=C][C][=C][Ring1][=Branch1],12,2,3,12
5997,[C][C][Branch1][C][C][Branch1][C][C][C][Branch1][C][O][C][Branch1][=C][C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl][N][C][=N][C][=N][Ring1][Branch1],17,3,1,19
5998,[C][C][O][C][=Branch1][C][=O][C@H1][Branch1][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][N][C][C][C][C@H1][Ring1][Branch1][C][Branch1][C][O][=O],20,2,5,28
5999,[C][C][O][PH0][=Branch1][C][=O][Branch2][Ring1][=Branch2][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][S][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=Ring1][=Branch2][O][C][C],18,1,3,20
6000,[C][C][N][C][C][=Branch1][C][=O][N][=C][Ring1][=Branch1][N],5,3,1,9
6001,[O][C][=Branch1][C][=O][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][#Branch2][C][=Branch1][C][=O][N][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][Cl],20,1,3,5
6002,[O][SH0][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][Cl][Branch1][=Branch2][SH0][Branch1][C][O][=Branch1][C][=O][=O][SH0][Branch1][C][O][=Branch1][C][=O][=O],2,0,9,3
6003,[C][C][O][C][=Branch1][C][=O][C@H1][Branch1][C][C][N][C][=Branch1][C][=O][C][Cl],8,1,3,12
6004,[C][S][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][Branch1][C][C][=O],11,0,4,12
6005,[C][C][=Branch1][C][=O][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][SH0][Branch1][C][C][=O],11,0,5,12
6006,[C][C][=Branch1][C][=O][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][SH0][Branch1][C][C][=Branch1][C][=O][=O],11,0,6,12
6007,[C][C][Branch1][O][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][C][Branch1][C][O][=O],10,0,3,9
6008,[C][C][Branch2][Ring1][S][O][C][=C][C][=C][Branch2][Ring1][Ring1][O][C][=C][N][=C][C][=C][Branch1][C][Cl][C][=C][C][Ring1][#Branch1][=N][Ring1][O][C][=C][Ring2][Ring1][C][C][Branch1][C][O][=O],18,2,4,13
6009,[Cl][C][=C][C][=C][C][Branch2][Ring1][C][C][=C][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][=Branch2][=C][Ring1][#C][Cl],17,0,0,5
6010,[NH4+1].[C][PH0][Branch1][C][O][=Branch1][C][=O][C][C][C][Branch1][C][N][C][Branch1][C][O-1][=O],5,2,4,15
6011,[C][C][Branch1][C][C][C][C@H1][Branch1][C][N][C][=Branch1][C][=O][N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][N][C][C][Branch1][C][O][=O],11,3,4,21
6012,[C][C][O][C][=Branch1][C][=O][N][Branch1][C][C][C][C],6,1,2,13
6013,[C][C][C][S][PH0][=Branch1][C][=O][Branch1][Ring2][O][C][C][O][C][C][=N][N][Branch1][Ring2][C][=Ring1][Branch1][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],15,2,3,18
6014,[C][C][O][C][Branch1][#Branch1][C][C][Branch1][C][C][O][O][C][C],8,0,3,18
6015,[N][N][=C][N][=C][N][C][=N][C][=C][N][=C][Ring1][#Branch2][Ring1][=Branch1],6,6,0,6
6016,[C][O][C][C][=Branch1][C][=O][N][Branch1][=Branch2][N][C][C][O][C][Ring1][Branch1][=O][C][=C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1][C],14,2,4,18
6017,[C][C][C][C][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1],12,2,1,18
6018,[C][C][C][Branch2][Ring1][Branch2][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][Branch1][Branch2][C][C][Branch1][C][O][C][O][C][Ring1][=N][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],15,2,5,18
6019,[C][C@H1][C][Branch2][Ring1][=Branch1][S][C][=Branch1][C][=O][N][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][C][C][C][C][Ring1][=Branch1][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],18,2,2,21
6020,[C][O][C][=Branch1][C][=O][C][S][C][=C][C][=Ring1][Branch1][SH0][=Branch1][C][=O][=Branch1][C][=O][N][C][=Branch1][C][=O][N][C][=N][C][Branch1][C][C][=N][C][Branch1][Ring1][O][C][=N][Ring1][=Branch2],12,5,6,13
6021,[C][C][C][Branch1][Ring1][C][C][C][=Branch1][C][=O][N][Branch1][Ring1][C][C][C][C],10,1,1,21
6022,[C][C][C][Branch1][C][C][Branch1][C][C][C][=Branch1][C][=O][O][C@H1][C][C@@H1][Branch1][C][C][C][=C][C][=C][C@H1][Branch1][C][C][C@H1][Branch1][P][C][C][C@@H1][C][C@@H1][Branch1][C][O][C][C][=Branch1][C][=O][O][Ring1][Branch2][C@@H1][Ring2][Ring1][=Branch1][Ring1][P],25,0,5,38
6023,[C][C][C][C][C][Branch1][C][O][Branch1][=Branch2][C][N][C][=N][C][=N][Ring1][Branch1][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl],16,3,1,17
6024,[C][C][Branch1][C][C][C][=C][C][Branch1][#Branch2][O][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][C][Branch1][=Branch1][C][Branch1][C][C][C][=C][Ring1][S][N][C][=Branch1][C][=S][N][C][Branch1][C][C][Branch1][C][C][C],23,2,1,32
6025,[C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][C][Branch1][C][C][C][O][C][C][=C][C][=C][C][Branch1][#Branch2][O][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][=N],25,0,3,28
6026,[C][C][C][=C][N][=C][Branch2][Ring1][Branch1][C][=N][C][Branch1][C][C][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][N][Ring1][#Branch2][C][=Branch1][Ring2][=C][Ring1][S][C][Branch1][C][O][=O],15,3,3,19
6027,[C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=N][C][Branch1][C][C][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][N][Ring1][#Branch2],16,2,3,20
6028,[C][C][C][C][C][C][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1],14,2,1,22
6029,[C][C][C][C][C][C][C][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1],15,2,1,24
6030,[C][C][C][C][C][C][C][C][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1],16,2,1,26
6031,[C][C][C][C][C][C][C][C][C][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1],17,2,1,28
6032,[C][C][C][C][C][C][C][C][C][C][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1],18,2,1,30
6033,[C][C][Branch1][C][C][C][O][N][Branch1][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][C][Ring1][=C][=O],13,1,2,14
6034,[C][O][C][=N][C][Branch1][C][C][=N][C][Branch2][Ring1][#Branch2][N][C][=Branch1][C][=O][N][SH0][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][Cl][=N][Ring2][Ring1][Branch2],15,5,5,16
6035,[O][N][=C][C][=C][C][=Branch1][Ring1][=N][O][C][=N][C][=C][C][=C][Ring1][N][Ring1][=Branch1],9,3,2,7
6036,[C][C][Branch1][C][C][Branch1][C][C][C@H1][Branch1][C][O][C@H1][Branch1][=N][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][N][C][=N][C][=N][Ring1][Branch1],15,3,2,18
6037,[O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][N][C][=Branch1][C][=O][C][=C][C][=N][C][=C][Ring1][=Branch1],20,2,2,15
6038,[C][C][C][Branch1][C][C][Branch1][Ring1][C][C][C][C][=C][Branch2][Ring1][Ring2][N][C][=Branch1][C][=O][C][=C][Branch1][Ring1][O][C][C][=C][C][=C][Ring1][Branch2][O][C][O][N][=Ring2][Ring1][C],18,2,4,24
6039,[C][C][O][C][Branch1][C][C][C][C][O],6,0,2,14
6040,[C][N][N][=C][Branch1][C][C][C][Branch2][Ring1][Ring2][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][C][=C][Ring1][Branch2][Cl][=C][Ring1][P][O][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1],24,2,3,20
6041,[C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][SH0][=Branch1][C][=O][=Branch1][C][=O][N][C][=Branch1][C][=O][N][C][=N][C][Branch1][Ring1][O][C][=C][C][Branch1][Ring1][O][C][=N][Ring1][#Branch2],16,4,7,18
6042,[C][C][O][C][=Branch1][C][=O][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][S][N][Branch1][C][C][C][=Branch1][C][=O][O][\N][=C][Branch1][C][\C][S][C],17,3,4,25
6043,[O][C][=Branch1][C][=O][C][Branch1][C][I][=C][Branch1][C][Br][I],3,0,2,1
6044,[C][C][Branch1][C][C][Branch1][C][C][C@H1][Branch1][C][O][\C][=Branch1][=N][=C][/C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][N][C][=N][C][=N][Ring1][Branch1],16,3,1,18
6045,[C][C][Branch1][C][C][Branch1][C][C][C][Branch1][C][O][\C][=Branch1][=N][=C][/C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][N][C][=N][C][=N][Ring1][Branch1],16,3,1,18
6046,[C][C][Branch1][C][C][Branch1][C][C][C][Branch1][C][O][\C][=Branch1][=C][=C][/C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl][N][C][=N][C][=N][Ring1][Branch1],17,3,1,17
6047,[C][C][C][C][=Branch1][C][=O][N][Branch1][=N][C][S][PH0][=Branch1][C][=S][Branch1][Ring1][O][C][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],14,1,3,19
6048,[O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][O][C][=C][C][=C][N][=C][Ring1][#Branch2][Ring1][=Branch1][N+1][Branch1][C][O-1][=O],10,2,4,6
6049,[C][C][O][C][=Branch1][C][=O][C][Branch1][C][C][O][C][=Branch1][C][=O][N][Branch1][Branch1][C][Ring1][#Branch1][=O][C][=C][C][Branch1][C][Cl][=C][C][Branch1][C][Cl][=C][Ring1][Branch2],15,1,5,11
6050,[N][C][=N][C][=C][N][=C][N][Branch1][=Branch1][C][O][C][C][O][C][Ring1][#Branch2][=N][Ring1][=C],8,5,2,11
6051,[C][C][Branch1][P][O][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][C][=C][Ring1][Branch2][Cl][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1],18,1,2,15
6052,[C][C][C][C][C][S][SH0][=Branch1][C][=O][C][C][C][C][C],10,0,1,22
6053,[C][O][C][C][C][C][C][=O],6,0,2,12
6054,[C][C][C][=Branch1][C][=O][O][C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl],12,0,2,10
6055,[C][C][N][Branch1][#Branch2][C][Branch1][C][C][C][Branch1][C][C][C][C][=Branch1][C][=O][S][C][C][=C][C][=C][C][=C][Ring1][=Branch1],15,1,1,23
6056,[Cl][C][=C][C][=C][Branch2][Ring1][O][C][S][C][Branch1][=Branch2][C][N][C][=N][C][=N][Ring1][Branch1][=N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl][C][=C][Ring2][Ring1][Branch2],20,4,0,13
6057,[C][C][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1][N][Branch1][Branch2][C][O][C][Branch1][C][C][C][C][=Branch1][C][=O][C][Cl],16,1,2,22
6058,[C][C][O][C][=C][C][=C][Branch1][N][N][C][=Branch1][C][=O][O][C][Branch1][C][C][C][C][=C][Ring1][=N][O][C][C],14,1,4,21
6059,[C][C][C][=C][C][=C][C][Branch1][Ring1][C][C][=C][Ring1][Branch2][N][Branch1][#Branch1][C][O][C][\C][=C][/C][C][=Branch1][C][=O][C][Cl],18,1,2,24
6060,[C][O][C][C][Branch1][C][C][N][Branch1][#Branch1][C][=Branch1][C][=O][C][Cl][C][=C][Branch1][C][C][S][C][=C][Ring1][=Branch1][C],13,1,2,18
6061,[C][C][Branch2][Ring1][=Branch2][O][C][=C][C][=C][Branch1][=C][O][C][=N][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl][C][=C][Ring1][#C][C][=Branch1][C][=O][N][C][C][C][O][Ring1][Branch1],19,2,4,16
6062,[C][C][Branch1][C][C][C][C][C][C][Branch1][C][C][Branch1][Ring2][O][Ring1][=Branch1][C][Branch1][Ring2][C][Ring1][Branch2][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C],18,0,2,26
6063,[O][C][=Branch1][C][=O][C][Branch1][C][Br][=C][Branch1][C][Cl][Br],4,0,2,1
6064,[O][C][=Branch1][C][=O][C][Branch1][C][Cl][=C][Branch1][C][Br][Br],4,0,2,1
6065,[C][C][Branch1][C][O][C][Branch1][=Branch1][N+1][Branch1][C][O-1][=O][N+1][Branch1][C][O-1][=O],3,2,5,6
6066,[C][C][=C][C][Branch1][C][C][=N][C][Branch1][S][N][\N][=C][Branch1][C][\C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=N][Ring2][Ring1][C],15,4,0,18
6067,[C][N][C][=Branch1][C][=O][N][=C][C][=C][Ring1][#Branch1][N][C][=Branch1][C][=O][N][Ring1][=Branch1],6,4,2,6
6068,[C][C][Branch1][C][C][Branch1][C][C][C@@H1][Branch1][C][O][C@H1][Branch1][=N][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][N][C][=N][C][=N][Ring1][Branch1],15,3,2,18
6069,[C][C@@H1][Branch1][Ring2][C][C][O][C][C][C][=O],7,0,2,14
6070,[C][N][C][=C][N][=C][C][=N][C][Ring1][=Branch1][=N][C][Ring1][#Branch2][=O],7,4,1,6
6071,[O][=C][O][C][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][=Branch2][Ring1][=Branch1][C][#N],9,1,2,5
6072,[C][C][SH0][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][C][Branch1][Ring1][C][O][SH0][=Branch1][C][=O][=Branch1][C][=O][C][C],7,0,5,16
6073,[C][O][C][=C][Branch1][C][N][C][Branch1][Ring1][C][=O][=C][C][=C][Ring1][=Branch2][O],8,1,3,9
6074,[C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][#Branch2][C][=C][Ring1][=Branch1][C][Branch1][C][O-1][=O][N+1][Branch1][C][O-1][=O],9,1,6,6
6075,[O][C][=Branch1][C][=O][C][C][C@H1][Branch1][=Branch1][N][C][C][C][#N][C][Branch1][C][O][=O],8,2,4,12
6076,[C][C][C][Branch1][#Branch1][C][C][Branch1][C][C][=O][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][C][Ring1][N][=O],9,2,4,12
6077,[C][C][C][C][C][C][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][C][O][=O],9,0,4,18
6078,[C][C][=C][N][=C][C][Branch1][#C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][C][Branch1][C][O][=O][=C][Ring1][=C],12,1,2,8
6079,[C][C][C@H1][Branch1][C][C][C@H1][Branch1][=Branch1][N][C][C][C][#N][C][Branch1][C][O][=O],9,2,2,16
6080,[C][C][C][=N][C][=C][N][=C][Branch1][C][O][N][=C][Ring1][#Branch1][N][=C][Ring1][O][C][C],10,4,1,12
6081,[C][C][Branch1][C][C][Branch1][#Branch2][O][C][C][C][C][C][C][Ring1][=Branch1][C][Branch1][C][O][=O],10,0,3,18
6082,[C][O][C][Branch1][#Branch1][C][C][Branch1][C][O][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],10,0,3,12
6083,[O-1][N+1][=Branch1][C][=O][C][C][=Branch1][C][=O][C][C][Branch1][=Branch1][C][C][Ring1][#Branch1][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],12,1,4,11
6084,[O][C][Branch1][C][O][Branch1][=C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1],15,2,4,14
6085,[C][C][=C][C][C][Branch1][C][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][Branch1][C][C][C][Ring1][#Branch2][=O],10,2,3,14
6086,[C][C][O][C][=Branch1][C][=O][C][Branch1][C][O][C][=C],6,0,3,10
6087,[C][C][C][C][C][C][Branch1][Ring2][O][Ring1][=Branch1][O][C][C][C][C][C][Branch1][C][C][O][Ring1][#Branch1],12,0,3,22
6088,[C][C][C][O][PH0][=Branch1][C][=O][Branch1][Ring1][O][C][O][C][C][C],7,0,4,17
6089,[C][N][C][=N][C][=C][Branch1][P][N][Branch1][C][C][C][=Branch1][C][=O][N][Branch1][C][C][C][Ring1][=Branch2][=O][C][Ring1][=C][=O],9,4,3,10
6090,[O-1][C][=Branch1][C][=O][C][N][SH0][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2],12,1,4,10
6091,[C][C][C][C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring2][Ring1][C][Ring1][#Branch2],22,0,0,20
6092,[C][C][C][Branch1][C][Br][Branch1][C][Br][C][Branch1][C][O][=O],4,0,2,6
6093,[C][C][O][C][=Branch1][C][=O][C][C][=N][N][Branch1][C][C][C][=Ring1][=Branch1][SH0][=Branch1][C][=O][=Branch1][C][=O][N][C][=Branch1][C][=O][N][C][=N][C][Branch1][Ring1][O][C][=C][C][Branch1][Ring1][O][C][=N][Ring1][#Branch2],14,6,7,18
6094,[O][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][N][SH0][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2],14,2,5,14
6095,[C][C][Branch1][=Branch1][C][C][C][Ring1][Ring1][C][Branch1][C][O][Branch1][=Branch2][C][N][C][=N][C][=N][Ring1][Branch1][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],16,3,1,18
6096,[C][O][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][SH0][=Branch1][C][=O][=Branch1][C][=O][N][C][=Branch1][C][=O][N][C][=N][C][Branch1][Ring1][O][C][=N][C][Branch1][Ring1][O][C][=N][Ring1][#Branch2],15,5,7,19
6097,[C][C][O][PH0][=Branch1][C][=O][Branch1][Branch2][S][C][Branch1][C][C][C][C][S][C][Branch1][C][C][C][C],10,0,2,23
6098,[O][C][=Branch1][C][=O][C][O][C][C][C][C][C][Ring1][Branch1],7,0,3,12
6099,[C][C][O][PH0][=Branch1][C][=S][Branch1][#Branch1][O][C][Branch1][C][C][C][O][C][=C][N][=C][Branch1][Branch1][N][=C][Ring1][=Branch1][C][Branch1][C][C][Branch1][C][C][C],13,2,3,23
6100,[C][C][Branch1][C][C][Branch1][C][C][N][N][=C][C][=Branch1][=Branch2][=C][Branch1][C][Cl][C][Ring1][#Branch1][=O][S][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][C][Branch1][C][C][C],20,2,1,25
6101,[C][O][C][C][=C][S][C][=Ring1][Branch1][C][N][Branch1][#Branch1][C][=Branch1][C][=O][C][Cl][C][=C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1][C],17,1,2,18
6102,[C][C][C][C][C][C][C][C][C][C][C][C][C][C][N][C][=Branch1][C][=O][C][Branch1][C][C][O],17,1,2,35
6103,[C][O][C][=Branch1][C][=O][C][Branch1][Branch1][C][C][Ring1][Ring1][SH0][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],11,0,4,12
6104,[Cl][C][Branch1][C][Cl][C][=Branch1][C][=O][N][Branch1][Ring2][C][C][=C][C][C][=Branch1][C][=O][N][C][C][=C],12,2,2,14
6105,[C][O][C][=N][S][C][Branch1][C][N][=N][Ring1][=Branch1],3,3,1,5
6106,[C][C][O][C][=N][S][C][Branch1][C][N][=N][Ring1][=Branch1],4,3,1,7
6107,[C][C][=Branch1][C][=O][O][C][C][Branch1][C][S][C][S],5,0,2,10
6108,[C][C][C][C][C][=Branch1][Ring1][=C][C][C][Branch1][C][N][=O],8,1,1,15
6109,[O][=C][Branch1][#Branch2][N][C][=N][C][=C][C][=N][Ring1][=Branch1][C][=C][N][=C][C][=N][Ring1][=Branch1],9,5,1,7
6110,[C][C][C][C][C][C][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1],15,1,2,23
6111,[C][C][O][PH0][=Branch1][C][=O][Branch1][Branch2][S][C][Branch1][C][C][C][C][N][C][C][S][C][Ring1][Branch1][=O],9,1,3,18
6112,[C][C][=C][C][=N][C][Branch1][=C][N][C][=Branch1][C][=O][C][=C][N][=C][C][=N][Ring1][=Branch1][=N][Ring1][#C],10,5,1,9
6113,[C][SH0][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch2][C][Branch1][C][Cl][=C][Ring1][#Branch1][C][=Branch1][C][=O][C][C][=Branch1][C][=O][C][C][C][C][Ring1][#Branch1][=O],15,0,5,13
6114,[C][C][Branch1][C][C][O][C][=Branch1][C][=O][C][=C][C][=Branch1][Branch2][=C][C][=C][Ring1][O][Ring1][=Branch1][N+1][Branch1][C][O-1][=O],10,1,4,9
6115,[C][C][C][O][C][=Branch1][C][=O][C][=C][C][=Branch1][Branch2][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][N+1][Branch1][C][O-1][=O],10,1,4,9
6116,[C][C][Branch1][C][O][C][Branch1][C][C][C][=O],5,0,2,10
6117,[C][C][=N][C][=N][C][=C][Branch1][C][O][C][=C][C][=C][Ring1][O][Ring1][#Branch1],9,2,1,8
